P1_HP,P1_Atk,P1_Def,P1_SpAtk,P1_SpDef,P1_Speed,P2_HP,P2_Atk,P2_Def,P2_SpAtk,P2_SpDef,P2_Speed,Vantagem_Tipo_P1,Vantagem_Tipo_P2,Vitoria_P1
330,240,229,218,218,265,320,348,355,214,214,348,1.0,1.0,0
310,221,225,243,232,196,344,295,229,295,317,295,0.5,1.0,0
324,394,284,240,240,262,324,328,304,229,260,355,0.25,2.0,0
330,247,212,199,199,271,432,295,262,295,284,174,1.0,0.5,1
324,218,306,284,372,240,376,287,322,287,344,203,1.0,1.0,0
304,284,317,130,207,130,384,394,284,251,295,229,0.5,2.0,0
414,394,372,207,207,196,364,284,218,196,218,163,2.0,1.0,1
394,251,350,240,394,251,346,372,317,372,317,326,1.0,2.0,0
284,218,306,174,229,251,352,346,401,291,251,179,1.0,2.0,0
394,273,504,394,284,174,352,273,262,251,273,353,1.0,1.0,1
434,416,394,229,229,196,334,317,295,229,229,295,2.0,4.0,0
344,262,262,262,262,262,464,416,339,207,284,218,1.0,1.0,0
304,218,245,196,245,251,394,388,513,183,188,192,0.5,1.0,0
314,185,218,229,350,295,534,273,284,196,207,251,1.0,1.0,0
324,339,240,372,240,339,354,317,240,251,240,361,1.0,1.0,0
314,229,284,262,207,141,344,311,251,284,229,324,1.0,2.0,0
364,223,218,306,218,304,344,278,240,322,240,346,1.0,2.0,0
386,306,267,306,392,346,354,328,317,196,262,350,2.0,1.0,1
356,432,306,240,262,322,304,207,207,185,249,236,0.0,2.0,0
264,174,201,174,201,262,334,383,240,317,240,339,2.0,0.25,1
304,218,196,174,174,218,354,383,416,240,306,196,0.5,2.0,0
280,185,196,168,163,185,414,504,328,504,328,361,0.5,2.0,0
304,196,196,262,196,262,326,293,251,262,262,262,0.5,1.0,0
314,293,339,359,273,223,294,247,190,251,229,317,1.0,2.0,1
394,251,251,350,394,240,344,311,251,284,229,324,1.0,1.0,0
328,205,218,205,218,229,244,163,207,262,306,240,1.0,1.0,1
444,328,295,174,295,207,354,335,284,262,284,311,0.5,1.0,0
344,207,196,207,196,273,324,256,295,278,273,364,0.5,2.0,0
290,262,214,218,240,192,364,361,284,251,229,313,0.5,2.0,0
374,339,328,282,291,280,308,306,229,236,245,240,1.0,1.0,1
298,289,234,201,212,247,464,295,284,295,317,240,2.0,1.0,1
314,258,249,207,229,177,334,240,262,295,273,196,1.0,1.0,0
354,284,350,251,306,218,294,317,218,196,218,273,1.0,2.0,0
364,405,394,317,306,262,342,229,207,229,229,141,2.0,0.5,1
404,262,267,225,245,328,364,262,251,284,372,328,0.5,1.0,0
350,317,245,295,251,295,302,216,232,216,243,254,1.0,1.0,1
384,295,328,317,383,295,354,350,339,174,262,328,2.0,1.0,1
364,289,328,291,328,284,320,317,427,218,339,174,2.0,1.0,1
424,251,339,229,317,284,324,240,328,185,251,185,1.0,2.0,0
304,185,229,163,163,141,344,295,229,295,317,295,0.5,2.0,0
292,273,185,247,181,207,704,119,119,185,339,218,0.0,0.0,1
304,240,317,372,262,262,304,438,218,438,218,438,1.0,0.5,1
274,328,218,218,262,372,354,324,262,359,262,273,4.0,0.5,1
398,331,335,344,331,243,330,317,251,284,267,350,1.0,1.0,1
314,317,361,207,207,185,344,339,383,251,273,207,2.0,1.0,1
350,269,269,388,269,375,294,174,218,229,251,207,1.0,2.0,1
324,251,251,403,359,262,334,240,207,273,229,262,0.5,2.0,0
304,185,229,163,163,141,416,438,262,535,372,416,2.0,1.0,0
324,260,260,309,287,218,384,394,284,251,295,229,1.0,1.0,0
274,240,196,295,196,262,344,361,295,317,273,394,1.0,1.0,0
364,427,438,339,350,350,314,287,240,218,262,322,1.0,1.0,1
354,328,247,284,247,364,404,119,119,141,251,174,1.0,1.0,1
314,229,229,405,405,405,314,251,207,218,207,218,1.0,1.0,1
324,218,262,218,306,251,384,295,273,361,328,361,1.0,1.0,0
344,295,427,240,229,251,294,256,240,185,218,247,0.5,1.0,1
314,229,229,295,229,174,364,284,284,229,229,306,1.0,1.0,0
380,372,273,328,273,421,294,218,229,273,251,174,1.0,0.5,1
324,317,260,251,282,284,364,394,240,196,284,372,0.5,0.5,0
364,207,251,306,350,284,380,350,240,229,240,207,1.0,1.0,0
394,339,295,383,273,207,284,207,196,251,196,251,1.0,0.25,1
404,469,438,317,372,265,354,383,284,240,328,295,2.0,0.5,1
354,350,383,328,339,295,324,218,262,218,306,251,1.0,1.0,1
404,405,361,295,328,405,282,223,203,240,218,251,1.0,0.5,1
338,289,245,210,214,203,322,254,262,205,229,199,0.0,1.0,0
344,262,240,339,240,383,294,196,240,196,273,218,2.0,1.0,1
304,229,218,188,174,203,354,366,251,229,251,350,0.5,2.0,0
324,273,328,229,284,218,352,361,262,405,284,342,2.0,0.5,1
504,284,205,306,227,284,304,258,240,218,218,179,2.0,0.0,1
364,218,328,328,548,218,444,355,251,284,273,280,0.5,1.0,0
584,181,236,181,236,181,354,328,254,240,254,361,1.0,1.0,0
334,247,207,207,207,207,300,267,214,267,214,214,1.0,1.0,0
374,372,262,218,240,328,392,284,298,377,284,346,1.0,1.0,0
334,240,350,394,317,251,320,317,236,262,236,322,1.0,1.0,1
324,328,295,284,295,328,284,251,174,207,185,240,1.0,2.0,1
374,372,284,295,273,295,354,273,240,291,240,240,1.0,0.5,1
364,427,438,339,350,350,324,196,218,273,295,317,1.0,1.0,1
280,185,196,168,163,185,340,273,225,291,357,240,1.0,1.0,0
294,163,218,163,163,185,386,267,306,392,306,346,1.0,1.0,0
324,218,372,306,284,174,286,185,207,236,221,174,2.0,1.0,1
330,240,229,218,218,265,324,260,260,309,287,218,1.0,1.0,0
274,249,295,271,229,179,338,207,238,247,196,188,2.0,0.5,1
394,383,282,240,328,287,364,317,361,394,361,251,1.0,1.0,1
288,196,229,196,207,214,384,317,254,207,251,245,1.0,1.0,0
454,269,309,410,304,273,280,174,295,229,251,174,1.0,1.0,1
492,372,240,196,240,218,382,427,306,339,284,309,0.5,2.0,0
374,372,284,295,273,295,300,205,196,265,196,278,2.0,1.0,1
284,174,218,229,229,328,404,328,284,240,240,218,2.0,2.0,0
322,507,397,238,177,348,364,218,218,317,405,339,2.0,1.0,1
364,328,262,218,240,207,356,350,262,287,262,379,2.0,1.0,1
374,405,394,240,284,163,352,273,262,251,273,353,1.0,0.5,1
286,249,207,218,218,218,404,306,394,207,251,229,1.0,1.0,0
338,207,238,247,196,188,304,262,218,218,218,196,0.5,2.0,0
274,185,185,185,185,185,304,225,245,203,223,207,0.5,1.0,0
284,196,284,196,196,152,354,317,256,383,317,291,1.0,1.0,0
282,223,203,240,218,251,304,218,278,317,278,309,1.0,1.0,0
324,240,273,240,273,291,364,262,251,284,372,328,1.0,2.0,0
384,372,372,240,240,218,404,328,328,328,328,328,1.0,2.0,0
404,269,291,269,291,229,344,306,262,240,262,196,0.5,0.5,1
294,218,229,273,251,174,388,372,416,284,416,390,0.5,1.0,0
320,348,355,214,214,348,364,460,240,482,394,284,4.0,1.0,1
344,196,218,229,218,163,344,273,218,207,218,218,1.0,2.0,0
266,207,306,174,174,196,292,236,205,236,205,243,2.0,2.0,1
274,249,295,271,229,179,344,372,328,427,339,152,4.0,1.0,1
324,306,240,225,218,267,314,218,207,405,317,372,0.5,2.0,0
448,394,260,284,260,174,344,416,614,240,284,218,0.5,0.5,0
304,251,295,185,185,229,416,284,350,372,284,205,2.0,1.0,1
376,287,322,287,344,203,384,251,295,251,295,240,1.0,0.5,1
312,254,262,205,229,210,354,273,273,383,317,196,2.0,1.0,1
384,306,328,262,284,273,336,251,214,245,234,223,1.0,1.0,1
344,278,240,322,240,346,334,251,240,394,317,350,2.0,1.0,1
284,207,196,245,240,240,394,317,350,339,350,295,1.0,1.0,0
444,306,262,350,262,240,294,218,152,196,163,240,1.0,1.0,1
274,185,196,185,229,218,338,234,229,278,229,359,1.0,2.0,0
334,207,229,207,262,207,290,172,397,172,397,190,1.0,1.0,0
344,405,317,207,262,295,364,273,438,273,438,218,0.5,2.0,0
370,342,251,298,251,295,374,328,377,236,273,227,1.0,1.0,0
298,245,207,229,207,210,394,273,504,394,284,174,2.0,1.0,0
394,284,339,196,262,328,364,372,262,350,262,284,1.0,2.0,0
320,273,291,291,357,196,356,432,306,240,262,322,2.0,1.0,1
278,163,199,163,199,163,414,339,273,251,328,218,0.5,1.0,0
376,287,322,287,344,203,444,328,295,174,295,207,1.0,2.0,0
422,249,309,335,291,207,352,214,276,291,287,337,1.0,1.0,1
354,383,273,174,273,295,474,295,196,196,295,119,2.0,1.0,1
454,394,306,394,306,317,340,383,251,251,361,284,1.0,2.0,0
314,196,196,251,207,185,274,273,174,174,174,251,2.0,1.0,1
294,174,141,295,251,251,294,152,218,240,372,218,1.0,1.0,0
324,350,262,240,240,350,308,225,240,280,280,181,2.0,1.0,1
504,328,372,328,372,306,384,328,306,284,262,273,2.0,2.0,1
324,273,196,218,196,295,342,229,207,229,229,141,0.5,1.0,0
330,372,295,306,229,229,300,243,196,243,196,218,1.0,2.0,1
332,471,273,313,291,273,398,331,335,344,331,243,1.0,1.0,1
324,284,218,218,218,196,344,152,218,152,218,196,1.0,1.0,1
324,240,240,240,240,240,354,383,328,262,284,207,0.5,1.0,0
424,379,251,328,251,251,304,249,218,207,218,199,2.0,2.0,1
352,214,276,291,287,337,294,218,185,229,273,196,1.0,1.0,1
284,207,251,328,372,306,348,295,262,251,262,236,4.0,1.0,1
324,245,218,245,240,196,314,355,207,271,207,262,2.0,2.0,0
284,185,174,372,262,339,412,309,247,309,269,258,1.0,1.0,0
324,282,339,238,295,188,314,218,207,405,317,372,2.0,1.0,1
264,207,238,174,194,234,404,438,372,372,328,306,1.0,1.0,0
344,262,262,262,262,262,362,328,284,350,306,375,1.0,1.0,0
304,295,383,295,361,152,420,482,361,372,317,311,1.0,1.0,0
394,159,214,159,214,159,434,306,262,238,306,251,1.0,1.0,0
254,185,262,317,229,207,284,207,196,185,185,232,2.0,1.0,1
294,185,207,245,225,185,294,251,196,240,196,262,0.5,2.0,0
414,317,284,196,284,306,328,214,227,247,240,258,1.0,1.0,1
284,196,284,196,196,152,410,240,386,284,386,218,1.0,2.0,0
294,295,218,229,218,251,334,298,240,229,240,315,1.0,1.0,0
380,273,254,394,306,342,284,168,240,190,218,254,4.0,0.5,1
404,372,328,438,372,306,354,350,339,174,262,328,1.0,1.0,1
400,300,339,225,295,256,348,317,256,335,265,377,1.0,1.0,1
304,251,344,339,344,298,284,196,196,262,196,152,2.0,0.5,1
354,324,262,359,262,273,264,207,238,174,194,234,1.0,0.5,1
384,295,295,383,328,317,318,161,298,161,298,159,0.5,1.0,1
414,416,317,229,251,207,404,328,284,240,240,218,2.0,1.0,1
334,317,234,328,295,313,372,265,203,265,203,214,1.0,1.0,1
354,350,339,174,262,328,424,361,284,218,306,306,0.0,1.0,0
294,207,174,229,196,218,358,295,221,229,221,251,1.0,1.0,0
512,416,346,218,258,218,364,339,251,328,262,262,0.5,1.0,1
344,306,207,141,207,218,304,185,229,163,163,141,1.0,1.0,1
354,192,192,232,232,256,294,229,194,185,194,201,1.0,1.0,1
318,306,317,408,335,172,320,304,278,207,207,214,2.0,1.0,1
224,229,163,185,207,317,384,240,262,273,262,207,1.0,2.0,0
416,526,328,447,328,394,334,324,247,196,269,320,2.0,1.0,1
384,328,306,306,284,229,364,350,372,394,306,262,2.0,2.0,0
344,295,251,339,295,372,352,214,276,291,287,337,1.0,1.0,1
334,229,317,251,317,185,324,306,416,218,218,196,2.0,1.0,1
406,267,267,326,304,172,346,372,317,372,317,326,0.5,2.0,0
384,394,273,273,273,229,324,251,262,295,273,196,1.0,1.0,1
354,335,284,262,284,311,344,229,229,284,240,207,1.0,0.5,1
324,240,240,295,295,295,344,207,214,240,251,185,1.0,1.0,1
354,192,192,232,232,256,354,306,218,350,284,317,2.0,1.0,1
316,284,359,381,240,408,318,284,309,284,300,273,1.0,1.0,1
374,284,262,405,273,306,304,273,262,185,262,214,1.0,2.0,0
414,317,284,196,284,306,274,185,185,185,185,185,1.0,2.0,1
414,460,229,174,229,405,374,284,306,339,317,240,1.0,1.0,1
304,295,196,295,196,185,274,185,196,185,229,218,0.25,2.0,0
320,304,278,207,207,214,314,328,240,383,240,350,1.0,1.0,1
404,372,372,438,328,306,304,207,207,185,185,218,1.0,1.0,1
328,218,236,269,227,267,304,152,196,152,196,152,1.0,1.0,1
424,405,240,218,251,302,292,236,205,236,205,243,2.0,2.0,1
244,196,306,174,306,163,416,350,306,447,306,394,2.0,1.0,0
430,262,372,405,251,223,420,328,375,287,317,317,1.0,1.0,0
304,225,214,225,214,249,324,295,216,240,216,240,1.0,1.0,0
384,317,317,262,306,262,404,403,350,262,293,267,2.0,2.0,0
278,163,199,163,199,163,512,416,346,218,258,218,0.5,1.0,0
314,229,218,207,251,229,422,254,293,287,326,179,1.0,1.0,0
344,295,427,240,229,251,364,262,262,306,328,262,0.5,1.0,0
264,207,229,262,229,295,294,416,394,416,405,174,0.5,0.5,0
358,295,221,229,221,251,304,185,229,163,163,141,1.0,1.0,1
304,262,218,218,218,262,418,414,414,225,225,282,1.0,1.0,0
340,267,280,192,201,179,314,273,240,273,240,335,0.0,1.0,0
320,317,427,218,339,174,394,366,284,251,262,311,1.0,2.0,0
444,306,262,350,262,240,324,317,260,251,282,284,2.0,1.0,1
364,372,282,317,282,262,324,295,216,240,216,240,0.5,0.5,1
346,333,280,223,229,311,284,196,240,196,240,130,2.0,0.5,1
414,438,306,438,306,317,266,207,306,174,174,196,2.0,0.5,1
364,240,306,240,262,218,362,295,240,229,240,265,1.0,4.0,0
344,361,240,361,240,229,340,295,251,471,405,328,1.0,2.0,0
312,247,223,291,232,322,324,229,427,273,438,196,2.0,1.0,1
394,405,284,350,284,328,294,185,218,262,218,174,2.0,0.25,1
354,262,262,324,262,313,304,372,225,185,350,300,2.0,0.0,1
324,317,284,240,284,174,330,372,295,306,229,229,2.0,1.0,1
448,394,260,284,260,174,332,471,273,313,291,273,1.0,1.0,0
284,251,174,207,185,240,314,240,394,174,394,119,2.0,0.5,1
334,394,240,317,350,251,326,267,234,229,229,251,1.0,1.0,1
328,269,229,232,223,293,376,276,298,364,232,317,2.0,1.0,1
344,295,262,240,262,218,284,172,207,172,207,188,1.0,1.0,1
404,383,328,229,295,185,324,218,306,284,372,240,0.5,2.0,0
340,249,240,353,240,366,354,262,262,324,262,313,1.0,1.0,0
318,284,309,284,300,273,344,335,295,240,295,289,2.0,0.5,1
284,251,185,196,185,273,454,482,328,372,306,317,1.0,1.0,0
404,251,240,427,284,394,386,306,392,306,267,346,1.0,1.0,0
308,225,240,280,280,181,334,240,262,295,273,196,1.0,1.0,0
270,210,196,155,163,207,344,293,262,251,262,221,1.0,2.0,0
334,306,196,207,284,273,434,416,394,229,229,196,1.0,2.0,0
338,207,238,247,196,188,450,328,245,322,287,258,2.0,0.5,1
294,174,262,273,262,130,298,289,234,201,212,247,1.0,0.0,1
304,240,240,240,240,174,294,174,185,152,152,207,1.0,0.5,1
314,218,207,405,317,372,294,251,196,240,196,262,1.0,1.0,0
364,317,289,240,289,273,388,372,361,284,361,412,2.0,0.5,1
284,218,207,262,207,262,394,405,284,350,284,328,1.0,1.0,0
344,361,240,361,240,229,304,218,245,196,245,251,1.0,2.0,0
344,306,350,240,273,317,304,262,328,196,196,174,1.0,1.0,1
264,207,405,207,306,174,354,379,256,317,295,317,1.0,1.0,0
388,372,361,284,361,412,344,251,251,229,229,306,2.0,1.0,1
324,240,196,251,207,185,386,306,342,394,342,278,4.0,0.5,1
404,328,328,328,328,328,360,273,273,262,262,223,0.5,2.0,0
334,394,240,273,240,273,410,313,256,265,243,293,0.5,1.0,0
364,262,240,416,350,350,344,196,218,229,218,163,1.0,2.0,0
304,225,245,203,223,207,464,416,339,207,284,218,2.0,2.0,0
364,361,284,251,229,313,414,416,229,174,229,317,1.0,1.0,0
444,355,251,284,273,280,354,306,218,350,284,317,2.0,2.0,1
478,357,304,410,344,322,324,273,295,328,295,361,2.0,1.0,1
320,317,236,262,236,322,388,438,361,284,361,434,1.0,2.0,0
344,240,383,361,262,229,374,350,306,207,306,284,1.0,0.5,1
254,185,196,152,174,284,324,295,216,240,216,240,1.0,2.0,0
324,262,339,262,372,273,284,229,284,185,240,174,2.0,1.0,1
636,328,375,309,317,295,404,328,328,328,328,328,2.0,1.0,1
344,251,240,306,273,306,350,317,245,295,251,295,1.0,1.0,0
350,293,280,370,295,317,284,196,229,196,262,229,2.0,2.0,1
360,262,243,218,243,328,354,317,383,207,273,317,1.0,1.0,0
364,328,284,284,284,328,388,372,361,284,361,412,1.0,2.0,0
344,339,273,218,273,339,298,245,207,229,207,210,0.5,1.0,1
364,460,284,394,284,328,328,218,236,269,227,267,2.0,1.0,1
360,311,273,271,247,368,344,295,262,240,262,218,1.0,1.0,1
294,174,185,152,152,207,350,317,245,295,251,295,1.0,1.0,0
304,218,245,196,245,251,348,427,256,445,265,399,1.0,1.0,0
356,251,207,311,201,309,384,306,328,284,306,229,1.0,2.0,0
404,383,223,339,223,265,322,207,218,196,218,166,1.0,2.0,1
334,317,328,240,218,218,394,348,339,273,295,232,1.0,1.0,0
314,247,306,218,284,201,316,243,251,214,207,192,2.0,0.25,1
358,295,221,229,221,251,294,207,174,229,196,218,1.0,1.0,1
404,469,438,317,372,265,384,346,284,328,251,295,1.0,2.0,0
314,273,240,273,240,335,274,229,196,207,196,240,0.5,1.0,0
394,251,284,350,350,174,344,350,273,427,295,427,2.0,1.0,1
348,284,328,240,306,302,294,328,207,207,207,130,1.0,1.0,1
312,280,335,225,207,157,294,157,240,168,174,172,2.0,1.0,1
264,174,174,174,174,174,314,295,218,196,218,273,0.5,2.0,0
294,240,179,218,179,276,314,293,339,359,273,223,2.0,1.0,0
304,225,214,225,214,249,334,247,207,207,207,207,0.5,2.0,0
264,196,262,262,163,240,368,361,271,273,249,306,1.0,1.0,0
454,372,306,482,328,317,398,399,278,245,256,203,1.0,2.0,0
304,251,229,196,196,196,284,251,317,240,207,185,1.0,0.0,1
274,229,196,218,218,306,374,322,254,339,254,251,1.0,1.0,0
290,172,397,172,397,190,334,240,240,273,251,361,0.0,2.0,0
264,207,405,207,306,174,504,328,372,328,372,306,1.0,1.0,0
364,361,284,251,229,313,384,267,328,377,346,324,1.0,1.0,1
314,251,185,240,174,295,420,328,375,287,317,317,1.0,1.0,0
402,258,291,267,300,221,260,163,163,207,185,196,1.0,1.0,1
338,236,234,287,256,331,354,383,262,383,262,361,1.0,1.0,0
338,207,238,247,196,188,358,262,306,427,273,203,2.0,1.0,1
284,251,174,207,185,240,284,207,185,196,196,306,1.0,0.0,1
424,460,350,284,350,328,274,295,207,185,185,273,1.0,1.0,1
420,258,207,174,196,203,260,163,163,207,185,196,1.0,1.0,1
370,342,251,298,251,295,304,267,185,185,185,251,2.0,2.0,1
374,372,284,295,273,295,414,317,284,196,284,306,2.0,1.0,1
356,214,214,234,245,183,346,372,317,372,317,326,1.0,1.0,0
284,284,185,185,207,262,422,254,293,287,326,179,1.0,1.0,0
424,295,284,328,284,174,354,273,317,273,317,357,1.0,0.25,1
264,251,328,207,163,196,324,282,339,238,295,188,2.0,1.0,1
344,416,262,350,251,339,308,234,273,185,218,210,2.0,1.0,1
296,300,240,174,196,234,284,152,174,196,284,229,1.0,1.0,1
354,218,295,361,328,207,334,240,350,394,317,251,1.0,1.0,0
334,276,293,227,320,339,362,295,240,229,240,265,1.0,1.0,1
294,218,152,196,163,240,334,284,251,185,251,240,1.0,1.0,0
364,306,284,394,350,350,334,383,328,240,262,262,0.5,2.0,0
332,471,273,313,291,273,364,460,240,482,394,284,1.0,2.0,0
320,273,291,291,357,196,354,350,383,328,339,295,2.0,2.0,0
314,293,339,359,273,223,348,240,174,152,174,163,1.0,1.0,1
344,295,251,251,240,251,356,350,262,287,262,379,0.5,2.0,0
324,207,350,284,372,306,324,229,427,273,438,196,0.5,2.0,0
324,256,295,278,273,364,324,284,218,196,196,174,1.0,1.0,1
384,399,339,399,339,174,324,251,284,482,317,394,1.0,2.0,0
324,240,240,339,339,339,704,119,119,185,339,218,0.0,0.0,0
278,163,199,163,199,163,368,320,221,207,221,311,0.5,2.0,0
334,306,196,207,284,273,364,328,262,218,240,207,1.0,0.25,1
306,223,306,289,350,328,260,240,174,196,174,289,2.0,1.0,1
364,284,350,317,284,196,354,317,256,383,317,291,1.0,1.0,1
304,267,185,185,185,251,384,229,273,240,273,174,1.0,1.0,0
264,251,328,207,163,196,314,247,306,218,284,201,0.5,2.0,0
362,339,262,427,284,331,314,273,295,163,163,141,1.0,2.0,0
264,201,368,201,302,174,304,152,196,152,196,152,2.0,0.5,1
344,262,361,394,306,240,340,218,240,372,317,289,1.0,1.0,1
374,339,229,295,218,361,404,328,372,438,372,306,0.5,1.0,0
330,317,251,284,267,350,324,240,196,251,207,185,1.0,2.0,1
314,185,218,229,350,295,362,361,262,383,284,353,0.5,2.0,0
284,196,185,218,328,262,300,262,174,174,174,207,1.0,1.0,0
404,269,291,269,291,229,364,372,284,372,284,328,1.0,1.0,0
254,152,152,163,207,207,404,379,273,234,273,284,0.5,2.0,0
304,339,282,185,350,276,304,267,185,185,185,251,2.0,1.0,1
284,207,185,196,196,306,374,295,328,317,405,262,1.0,1.0,0
362,328,284,350,306,375,354,335,284,262,284,311,4.0,0.5,1
330,317,251,284,267,350,324,251,262,295,273,196,1.0,0.5,1
364,339,339,339,339,284,360,344,273,328,328,262,1.0,2.0,0
318,161,298,161,298,159,374,218,317,372,361,284,2.0,0.5,1
304,251,344,339,344,298,280,185,185,251,229,218,1.0,1.0,1
424,284,306,317,306,251,368,375,370,260,238,265,2.0,2.0,0
416,306,394,306,447,350,368,284,298,295,273,267,1.0,1.0,1
304,295,383,295,361,152,354,262,262,324,262,313,2.0,1.0,1
294,240,179,218,179,276,334,284,416,196,262,262,2.0,0.5,1
354,306,218,350,284,317,338,304,364,282,364,181,2.0,0.5,1
344,372,328,427,339,152,354,295,548,229,251,174,2.0,2.0,0
354,306,306,416,306,361,430,262,372,405,251,223,1.0,2.0,0
324,295,240,273,218,383,344,405,339,240,339,152,1.0,1.0,0
374,287,322,375,295,331,354,328,350,207,229,251,1.0,2.0,0
284,229,284,185,240,174,324,196,218,273,295,317,1.0,1.0,1
350,276,273,287,328,328,284,196,185,229,196,262,1.0,1.0,1
284,174,218,229,229,328,304,196,295,196,251,163,1.0,2.0,0
400,300,339,225,295,256,284,174,179,218,223,251,2.0,1.0,1
284,196,185,218,328,262,424,295,317,284,317,218,1.0,1.0,0
374,284,306,339,317,240,314,185,218,229,350,295,1.0,1.0,1
352,361,350,405,328,210,356,432,306,240,262,322,2.0,0.0,1
224,229,174,185,207,306,344,350,504,240,240,218,4.0,0.5,1
412,309,247,309,269,258,404,394,328,247,240,322,1.0,2.0,0
364,317,361,394,361,251,310,221,225,243,232,196,1.0,1.0,1
474,423,423,284,251,183,244,130,229,141,152,284,0.5,1.0,1
504,328,361,251,251,185,334,394,240,273,240,273,1.0,1.0,1
484,262,207,295,218,207,312,207,212,273,324,223,1.0,1.0,1
332,302,218,302,218,342,304,185,284,218,306,174,2.0,2.0,1
354,366,251,229,251,350,434,207,152,207,163,152,1.0,1.0,1
344,262,240,339,240,383,290,284,251,218,185,185,2.0,1.0,1
280,229,295,174,251,174,384,394,273,273,273,229,1.0,0.0,1
384,328,328,438,372,372,324,284,350,218,284,207,2.0,1.0,1
344,262,240,339,240,383,224,229,163,185,163,317,2.0,1.0,1
324,273,207,251,218,229,354,306,306,416,306,361,2.0,1.0,1
464,273,240,207,328,152,492,372,240,196,240,218,1.0,0.5,1
294,174,185,152,152,207,304,251,306,185,185,141,1.0,1.0,0
314,185,218,229,350,295,264,196,229,196,229,240,2.0,1.0,1
284,207,185,251,229,262,334,284,251,185,251,240,1.0,1.0,0
314,273,295,163,163,141,414,394,372,207,207,196,0.5,2.0,0
344,262,361,394,306,240,360,337,280,458,361,328,2.0,2.0,0
304,372,225,185,350,300,350,361,240,240,240,306,2.0,1.0,1
348,240,174,152,174,163,344,317,251,295,251,375,2.0,1.0,0
324,295,196,174,207,258,324,306,240,225,218,267,1.0,1.0,0
330,317,251,284,267,350,344,284,262,284,262,350,0.5,1.0,0
394,273,504,394,284,174,284,196,196,262,196,152,2.0,0.5,1
294,240,207,163,207,229,334,251,251,218,218,306,1.0,1.0,0
284,207,185,251,229,262,284,174,185,207,196,229,0.25,2.0,0
324,218,262,284,284,438,344,251,240,306,273,306,1.0,2.0,0
334,317,295,229,229,295,294,229,207,251,207,273,1.0,1.0,1
294,284,218,273,240,372,374,339,328,282,291,280,2.0,1.0,0
412,273,328,350,273,254,334,212,273,269,295,295,2.0,0.25,1
334,306,218,295,207,229,374,328,377,236,273,227,1.0,1.0,0
314,229,284,262,207,141,304,262,328,196,196,174,4.0,1.0,1
354,284,317,306,328,218,318,196,251,298,269,216,1.0,1.0,1
404,405,361,295,328,405,304,273,185,262,174,196,1.0,1.0,1
304,185,229,163,163,141,450,328,245,322,287,258,2.0,0.5,1
294,295,218,229,218,251,340,256,229,203,229,278,0.5,2.0,0
714,361,658,383,658,394,344,328,361,185,229,273,1.0,1.0,1
714,130,130,273,405,229,356,337,265,337,265,346,1.0,2.0,0
348,284,328,240,306,302,348,317,256,335,265,377,1.0,1.0,0
294,152,152,163,163,196,284,240,174,177,177,262,1.0,1.0,0
352,361,350,405,328,210,344,328,262,207,229,207,1.0,0.0,1
352,361,350,405,328,210,414,317,284,196,284,306,1.0,1.0,1
304,295,295,229,229,218,294,174,218,251,218,207,1.0,0.5,1
334,383,328,229,262,295,286,247,196,196,174,254,1.0,1.0,1
376,276,298,364,232,317,318,196,251,298,269,216,2.0,1.0,1
378,240,317,401,309,293,308,225,240,280,280,181,1.0,0.5,1
284,185,174,152,152,218,284,207,196,185,185,232,1.0,2.0,0
344,361,262,262,240,339,358,295,221,229,221,251,1.0,0.5,1
314,229,273,185,185,163,334,229,317,251,317,185,1.0,2.0,0
344,196,218,229,218,163,324,328,361,262,295,306,1.0,1.0,0
400,300,339,225,295,256,384,333,269,280,251,262,1.0,1.0,1
354,300,247,300,247,324,334,284,251,185,251,240,1.0,1.0,1
284,196,284,196,196,152,264,207,238,174,194,234,1.0,2.0,0
284,218,207,262,207,262,324,260,260,309,287,218,1.0,1.0,0
304,339,282,185,350,276,354,317,377,236,273,260,0.0,1.0,0
290,172,177,172,177,190,328,278,245,218,201,251,1.0,1.0,0
374,322,254,339,254,251,334,251,251,218,218,306,0.5,2.0,0
344,262,361,394,306,240,334,295,218,284,218,306,1.0,2.0,0
340,295,251,471,405,328,394,361,306,284,306,240,1.0,1.0,0
348,317,256,335,265,377,364,223,218,306,218,304,1.0,2.0,0
364,223,218,306,218,304,294,284,218,273,240,372,1.0,2.0,0
294,196,240,196,273,218,348,295,262,251,262,236,1.0,1.0,0
282,223,203,240,218,251,714,130,130,273,405,229,1.0,1.0,1
344,273,361,317,394,295,382,427,306,339,284,309,2.0,1.0,1
292,273,185,247,181,207,304,251,344,339,344,298,1.0,1.0,0
304,174,229,251,229,152,344,207,214,240,251,185,1.0,0.5,1
304,251,344,339,344,298,340,262,311,218,399,201,2.0,2.0,1
304,295,196,295,196,185,416,350,306,447,306,394,1.0,1.0,0
296,234,196,196,196,218,394,328,295,346,262,262,1.0,1.0,0
344,240,383,361,262,229,294,207,174,229,196,218,1.0,1.0,1
324,306,240,225,218,267,374,287,322,375,295,331,1.0,1.0,0
434,207,152,207,163,152,360,240,295,405,309,188,2.0,1.0,1
320,249,236,284,251,284,304,295,383,295,361,152,1.0,1.0,0
384,372,328,438,372,328,344,306,350,240,273,317,1.0,1.0,1
354,350,339,174,262,328,304,218,245,196,245,251,1.0,1.0,1
